accession,title,database,omicsType,organism,sampleCount,pubDate,downloadUrl,relevanceScore,relevant,notes,dropReason,foundByTerm,omicsTypeHint
GSE280414,Gene expression analysis using RNA-Seq of pustular skin diseases,GEO,RNA-seq,Homo sapiens,129,2025/03/04,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280414,55,True,,,psoriasis gene expression analysis,RNA-seq
GSE314158,6K-plex RNA CosMx data fra human FFPE samples from patients with psoriasis.,GEO,RNA-seq,Homo sapiens,134,2026/02/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314158,50,False,,The title or summary mentions a different disease as the primary focus.,psoriasis gene expression analysis,RNA-seq
GSE117405,"RNA-seq and flow-cytometry of conventional, scalp, and palmoplantar psoriasis reveal shared and distinct molecular pathways",GEO,Other,Homo sapiens,28,2018/07/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117405,50,False,,"Title mentions psoriasis, but also other diseases",heterogeneity in psoriasis,scRNA-seq
GSE306437,Unique B and plasma cell signature differentiates hidradenitis suppurativa from psoriasis and atopic dermatitis.,GEO,Proteomics,Homo sapiens,118,2026/02/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306437,40,True,,,psoriasis gene expression analysis,RNA-seq
GSE36287,"Expression data from primary human keratinocytes exposed to cytokines in vitro (IL-4, IL-13, IL-17A, IFN-alpha, IFN-gamma, TNF)",GEO,RNA-seq,Homo sapiens,24,2012/03/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36287,40,True,,,heterogeneity in psoriasis,scRNA-seq
GSE184500,DNA methylation patterns in CD8+ T cells discern psoriasis from psoriatic arthritis and correlate with cutaneous disease activity,GEO,Methylation,Homo sapiens,31,2021/09/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184500,40,False,,,epigenetic analysis of psoriasis,ATAC-seq
GSE200637,Serum extracellular vesicles miR-1305 and miR-6785-5p serve as biomarkers for disease severity in psoriasis,GEO,RNA-seq,Homo sapiens,8,2025/04/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200637,30,True,,,psoriasis gene expression analysis,RNA-seq
GSE308887,Tissue resident memory T cells populate the human uveal tract,GEO,Other,Homo sapiens,22,2025/09/26,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308887,0,False,,"Title mentions uveal tract, not psoriasis",psoriasis scRNA seq skin cells,scRNA-seq
GSE250390,Optimization of Tissue Digestion Methods for Characterization of Photoaged Skin by Single Cell RNA Sequencing Reveals Preferential Enrichment of T Cell Subsets,GEO,Other,Homo sapiens,5,2024/02/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250390,0,False,,"Title mentions photoaged skin, not psoriasis",single cell analysis of psoriasis,scRNA-seq
GSE312703,Transcriptomic Profiling of Psoriatic Lesions by Tape-Stripping Reveals Site-Specific Differences,GEO,Other,Homo sapiens,44,2026/05/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312703,0,False,,"Title mentions psoriatic lesions, but not psoriasis",heterogeneity in psoriasis,scRNA-seq
GSE294567,Comprehensive analysis of tonsillar gene expression and the tonsillar microbiota in patients with palmoplantar pustulosis and pustulotic arthro-osteitis,GEO,RNA-seq,Homo sapiens,40,2026/01/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294567,0,False,,pre-filter: disease name absent from title/summary,psoriasis gene expression analysis,RNA-seq
GSE268273,Clinical and molecular characterization of steatotic liver disease in the setting of immune-mediated inflammatory diseases,GEO,RNA-seq,Homo sapiens,109,2024/10/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268273,0,False,,pre-filter: disease name absent from title/summary,psoriasis gene expression analysis,RNA-seq
GSE326341,Characterization of a Human Cutaneous Squamous Cell Carcinoma Xenograft Mouse Model,GEO,RNA-seq,Homo sapiens,20,2026/06/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326341,0,False,,pre-filter: disease name absent from title/summary,skin cell transcriptome,RNA-seq
GSE307137,Spaceflight multi-omics reveals vulnerabilities of human germ cell development,GEO,RNA-seq,Homo sapiens,6,2026/06/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307137,0,False,,pre-filter: disease name absent from title/summary,skin cell transcriptome,RNA-seq
GSE306610,Spaceflight multi-omics reveals vulnerabilities of human germ cell development,GEO,RNA-seq,Homo sapiens,32,2026/06/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306610,0,False,,pre-filter: disease name absent from title/summary,skin cell transcriptome,RNA-seq
GSE328048,Single-cell transcriptome reveals keratinocyte subclusters that contribute to altered differentiation and inflammatory responses in atopic dermatitis,GEO,RNA-seq,Homo sapiens,116,2026/06/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328048,0,False,,pre-filter: disease name absent from title/summary,skin cell transcriptome,RNA-seq
GSE301636,A global transcriptome analysis of human dermal fibroblasts upon knockdown of the circular RNAs CircMT-RNR2,GEO,RNA-seq,Homo sapiens,6,2026/05/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301636,0,False,,pre-filter: disease name absent from title/summary,skin cell transcriptome,RNA-seq
GSE303962,Human germline biallelic loss-of-function OSMR variants cause severe allergic disease,GEO,RNA-seq,Homo sapiens,20,2026/05/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303962,0,False,,pre-filter: disease name absent from title/summary,skin cell transcriptome,RNA-seq
GSE303487,Transcriptome-guided development of a fibrosis-reversal compound reduces skin scarring and allows regeneration via mitochondrial uncoupling [RNA-seq],GEO,RNA-seq,Homo sapiens,6,2026/05/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303487,0,False,,pre-filter: disease name absent from title/summary,skin cell transcriptome,RNA-seq
GSE303486,Transcriptome-guided development of a fibrosis-reversal compound reduces skin scarring and allows regeneration via mitochondrial uncoupling [DRUG-seq2],GEO,RNA-seq,Homo sapiens,3,2026/05/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303486,0,False,,pre-filter: disease name absent from title/summary,skin cell transcriptome,RNA-seq
GSE299051,Immune Dynamics in Palmoplantar Pustulosis Unveiled by Single-Cell and High-Resolution Spatial Transcriptomics [Spatial Transcriptomics],GEO,scRNA-seq,Homo sapiens,2,2026/03/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299051,0,False,,pre-filter: disease name absent from title/summary,psoriasis scRNA seq skin cells,scRNA-seq
GSE294009,Spatial Transcriptomic Analysis of Early and Late Stages of Hidradenitis Suppurativa,GEO,scRNA-seq,Homo sapiens,204,2026/02/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294009,0,False,,pre-filter: disease name absent from title/summary,psoriasis scRNA seq skin cells,scRNA-seq
GSE304122,Th17 Cells with Regulatory Phenotype are the Main IL-17F and IL-26 Producers in Palmoplantar Pustulosis,GEO,scRNA-seq,Homo sapiens,10,2025/08/06,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304122,0,False,,pre-filter: disease name absent from title/summary,psoriasis scRNA seq skin cells,scRNA-seq
GSE185857,Single-cell analysis implicates Th17 to Th2 cell plasticity in the pathogenesis of palmoplantar pustulosis [scRNA-Seq],GEO,scRNA-seq,Homo sapiens,11,2022/05/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185857,0,False,,pre-filter: disease name absent from title/summary,single cell analysis of psoriasis,scRNA-seq
GSE185856,Single-cell analysis implicates Th17 to Th2 cell plasticity in the pathogenesis of palmoplantar pustulosis [RNA-Seq],GEO,scRNA-seq,Homo sapiens,18,2022/05/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185856,0,False,,pre-filter: disease name absent from title/summary,single cell analysis of psoriasis,scRNA-seq
GSE185858,Single-cell analysis implicates Th17 to Th2 cell plasticity in the pathogenesis of palmoplantar pustulosis,GEO,scRNA-seq,Homo sapiens,29,2022/05/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185858,0,False,,pre-filter: disease name absent from title/summary,single cell analysis of psoriasis,scRNA-seq
GSE123492,RNA-sequencing of highly pure synovial tissue macrophages reveals two distinct osteoarthritis subgroups that indicate different disease mechanisms.,GEO,scRNA-seq,Homo sapiens,12,2019/10/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123492,0,False,,pre-filter: disease name absent from title/summary,heterogeneity in psoriasis,scRNA-seq
GSE107375,High-resolution map of copy number variations in motor cortex of Control and Sporadic Amyotrphic Lateral Sclerosis patients by using a customized exon-centric comparative genomic hybridization array.,GEO,scRNA-seq,Homo sapiens,40,2018/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107375,0,False,,pre-filter: disease name absent from title/summary,heterogeneity in psoriasis,scRNA-seq
GSE299050,Immune Dynamics in Palmoplantar Pustulosis Unveiled by Single-Cell and High-Resolution Spatial Transcriptomics [scRNA-seq],GEO,scRNA-seq,Homo sapiens,5,2026/03/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299050,0,False,,pre-filter: disease name absent from title/summary,psoriasis scRNA seq skin cells,scRNA-seq
GSE249613,Defective Integrator activity shapes the transcriptome of patients with multiple sclerosis: patient data,GEO,ATAC-seq,Homo sapiens,26,2024/07/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249613,0,False,,pre-filter: disease name absent from title/summary,epigenetic analysis of psoriasis,ATAC-seq
